Word,Root,Gloss,Morphemes,Line Numbers
күрүневисте,күрүне,state,"['вис (posessive 1st plural)', 'те (verbalizer)']",1328C
пок,пок,"trash, garbage",[],1328C
күрүнеге,күрүне,state,['ге (dative)'],1331C
коомпаани,,,"['па (negative)', 'ни (accusative)']",1331C
хүрүневисте,,,"['үр (causative)', 'не (verbalizer)', 'вис (posessive 1st plural)', 'те (verbalizer)']",1333C
кижилиг,кижи,human being,['лиг (adjectival)'],1335C
кочулап,,,"['чу (verbalizer)', 'ла (verbalizer)']","1336C, 1340C, 1429C"
күрүневиске,күрүне,state,"['вис (posessive 1st plural)', 'ке (dative)']","1338C, 1343C"
байлак,байлак,wealth,[],1340C
эживис,,,['ивис (posessive 1st plural)'],1343C
үлешпейни,,,"['ле (verbalizer)', 'пей (diminutive)', 'ни (accusative)']",1343C
оорлуг,оор,burglar,['уг (adjectival)'],1345C
чаавыстыӊ,чаа,okay,"['выс (posessive 1st plural)', 'ты (past tense)']",1348C
үлүүн,,,[],1348C
эживисти,,,"['ивис (posessive 1st plural)', 'ти (past tense)']",1348C
келдивис,,,"['ке (dative)', 'ивис (posessive 1st plural)']",1349C
садараан,садар,"to buy, to go shopping",['ан (participle)'],1351C
халыырга,халыыр,"run, go quickly",['га (dative)'],1351C
ынчаш,,,"['ын (reflexive)', 'аш (circumstantial)']",1353C
арзылан,а,but,"['ыл (passive)', 'ан (participle)']","1354C, 1355C, 1366C, 1371C, 1390C"
биае,,,[],1354C
кымыскаяк,кымыскаяк,ant,[],"1354C, 1366C, 1375C, 1675C"
амытанга,амытан,"animal (dissmissive and degrading name for a shaman (literally - miserable creature, animal)",['га (dative)'],1356C
дузалап,дуза,aid,['ла (verbalizer)'],1356C
арзылаӊ,а,but,"['зы (verbalizer)', 'ла (verbalizer)']","1358C, 1363C, 1381C, 1385C, 1606C"
дээңин,,,['ин (reflexive)'],1358C
боөй,бо,"this, that, those",[],1359C
зыдып,,,"['зы (verbalizer)', 'ып (circumstantial)']",1359C
адтан,а,but,['тан (ablative)'],1359C
арзылаӊчедит,а,but,"['зы (verbalizer)', 'ла (verbalizer)', 'че (allative)', 'ди (past tense)']",1360C
эли,,,[],1360C
күжүн,,,['жү (verbalizer)'],"1364C, 1374C"
чарыштырар,чарыш,horse race,"['тыр (causative)', 'ар (verbal noun)']",1366C
кижиниу,кижи,human being,['ни (accusative)'],1367C
кымыскаяктан,кымыскаяк,ant,['тан (ablative)'],1367C
тык,,,['ык (verbalizer)'],1368C
мён,,,[],1369C
хупурай,,,"['уп (circumstantial)', 'ур (aorist)']","1370C, 1377C"
чипкей,,,"['ип (circumstantial)', 'ке (dative)']",1370C
шимчетпес,,,"['имче (nominalizer)', 'пе (negative)']",1372C
туда,туда,handle,[],1372C
өршээп,,,[],"1373C, 1621C"
салыпкан,сал,raft,"['ып (circumstantial)', 'кан (participle)']","1373C, 1503C"
маӊын,,,['ын (reflexive)'],1374C
маӊыӊ,,,[],1376C
чаржыр,чаржыр,compete,[],1376C
чанныр,чанныр,beg,[],1377C
салдым,сал,raft,['ым (posessive 1st singular)'],1379C
маӊна,,,['на (verbalizer)'],1379C
